               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.058492,            0.055939,            0.016213,             0.21752,              0.2028,             0.12064,            0.032261,            0.084076,            0.031299,            0.028784,            0.005149,            0.005149,            0.005149
                 100,            0.060636,            0.061066,            0.017051,             0.16594,             0.17123,              0.1103,            0.032368,            0.084741,            0.033021,            0.029105,           0.0050995,           0.0050995,           0.0050995
                 101,            0.059545,            0.059141,            0.016965,             0.27888,            0.097302,            0.099128,            0.028686,            0.080913,            0.034452,            0.027658,             0.00505,             0.00505,             0.00505
                 102,             0.05993,             0.06123,            0.017009,             0.19253,             0.21178,             0.15581,            0.043433,            0.079883,            0.033466,            0.029343,           0.0050005,           0.0050005,           0.0050005
                 103,            0.060197,            0.057428,            0.016579,             0.36605,             0.20234,             0.14635,            0.038823,            0.080174,            0.032943,            0.028665,            0.004951,            0.004951,            0.004951
                 104,            0.060063,            0.057555,            0.017152,             0.28889,             0.21748,             0.16529,            0.058374,            0.082151,            0.032511,            0.029805,           0.0049015,           0.0049015,           0.0049015
                 105,            0.059248,              0.0548,            0.016125,             0.37665,             0.17725,             0.18023,            0.050905,            0.081751,            0.032453,            0.029443,            0.004852,            0.004852,            0.004852
                 106,            0.060184,            0.059916,            0.015976,             0.20796,               0.152,             0.10996,            0.026541,            0.081885,            0.032673,            0.029585,           0.0048025,           0.0048025,           0.0048025
                 107,            0.058498,            0.056031,            0.015275,             0.34971,             0.21278,             0.18237,            0.051547,            0.082496,            0.031802,            0.030588,            0.004753,            0.004753,            0.004753
                 108,            0.058517,            0.060421,            0.015482,              0.2734,             0.17225,             0.13995,            0.037677,             0.08282,            0.031828,             0.03149,           0.0047035,           0.0047035,           0.0047035
                 109,            0.059209,            0.057688,            0.015901,             0.33116,             0.14368,             0.13655,            0.043234,            0.083083,            0.031615,            0.028922,            0.004654,            0.004654,            0.004654
                 110,            0.058165,            0.060029,            0.014892,             0.22454,              0.2262,             0.17109,            0.048389,            0.079309,            0.032318,            0.029237,           0.0046045,           0.0046045,           0.0046045
                 111,            0.059423,            0.056555,            0.015258,             0.44554,             0.14248,             0.15443,            0.042642,            0.082814,            0.031196,            0.031604,            0.004555,            0.004555,            0.004555
                 112,            0.057021,            0.055996,            0.014814,             0.22842,             0.17754,             0.13589,            0.037349,            0.081766,            0.033807,            0.028592,           0.0045055,           0.0045055,           0.0045055
                 113,            0.056628,            0.055628,            0.014439,             0.24272,             0.18345,             0.12156,             0.03547,            0.084255,            0.032318,            0.029439,            0.004456,            0.004456,            0.004456
                 114,              0.0584,            0.060041,              0.0149,             0.39367,             0.24272,              0.2085,            0.056608,            0.081808,            0.033324,             0.02991,           0.0044065,           0.0044065,           0.0044065
                 115,            0.058397,            0.057941,            0.015494,             0.18455,             0.28308,             0.16437,            0.044643,            0.081863,            0.032789,            0.029018,            0.004357,            0.004357,            0.004357
                 116,            0.056212,            0.052863,             0.01444,             0.27767,             0.15479,              0.1667,            0.053315,            0.084744,            0.031016,            0.031659,           0.0043075,           0.0043075,           0.0043075
                 117,             0.05676,            0.054961,            0.014662,             0.23312,             0.18206,             0.16847,            0.055373,            0.082838,            0.030848,            0.030423,            0.004258,            0.004258,            0.004258
                 118,            0.057117,            0.056349,            0.014216,             0.22008,             0.14248,             0.11438,            0.040989,            0.085233,            0.031422,            0.031874,           0.0042085,           0.0042085,           0.0042085
                 119,            0.056729,            0.053922,            0.015411,             0.30965,             0.21445,             0.22037,            0.069822,            0.085376,            0.030158,            0.030954,            0.004159,            0.004159,            0.004159
                 120,            0.055426,            0.054371,            0.014153,             0.18687,             0.24165,              0.1233,            0.037518,            0.082222,            0.032511,            0.030899,           0.0041095,           0.0041095,           0.0041095
                 121,            0.056427,            0.056313,            0.014955,             0.30775,             0.22374,             0.17753,             0.04938,            0.081019,            0.031583,            0.031682,             0.00406,             0.00406,             0.00406
                 122,            0.056071,            0.054383,            0.014331,             0.39938,             0.22776,             0.18929,            0.057974,            0.082223,            0.031448,            0.030377,           0.0040105,           0.0040105,           0.0040105
                 123,            0.055483,            0.051338,            0.013631,             0.33957,             0.26408,             0.19759,            0.047921,            0.081629,            0.032344,            0.027644,            0.003961,            0.003961,            0.003961
                 124,            0.057027,            0.056386,            0.014553,             0.36157,             0.26253,             0.18302,            0.049967,             0.08145,            0.032988,            0.030931,           0.0039115,           0.0039115,           0.0039115
                 125,            0.056079,            0.052942,             0.01468,             0.41644,             0.20959,             0.19142,            0.059211,            0.082967,            0.032569,            0.031842,            0.003862,            0.003862,            0.003862
                 126,            0.055855,            0.056269,            0.013701,             0.44992,             0.19367,             0.20097,            0.052893,            0.083365,            0.033195,            0.029874,           0.0038125,           0.0038125,           0.0038125
                 127,            0.053846,            0.052924,             0.01346,             0.28038,             0.17599,             0.14113,            0.045155,            0.083746,            0.032402,            0.030629,            0.003763,            0.003763,            0.003763
                 128,            0.056101,            0.057156,            0.013985,             0.19532,             0.20374,             0.10236,            0.029945,            0.084923,            0.033001,            0.030446,           0.0037135,           0.0037135,           0.0037135
                 129,            0.053537,            0.055736,            0.013583,             0.22375,             0.13869,             0.10565,            0.033643,            0.084468,             0.03255,            0.031215,            0.003664,            0.003664,            0.003664
                 130,            0.055061,            0.054121,            0.013555,             0.35683,             0.17881,             0.17143,            0.050746,            0.083246,             0.03217,            0.031458,           0.0036145,           0.0036145,           0.0036145
                 131,            0.055006,            0.050798,            0.013785,             0.24565,             0.25078,             0.15832,            0.044397,             0.08404,            0.032395,            0.032758,            0.003565,            0.003565,            0.003565
                 132,            0.053849,            0.056186,            0.012997,             0.27708,             0.19202,              0.1401,              0.0451,            0.085639,            0.032073,            0.033376,           0.0035155,           0.0035155,           0.0035155
                 133,            0.053897,             0.05556,            0.013603,             0.19562,             0.20159,             0.13313,            0.043115,            0.085513,            0.031241,            0.033952,            0.003466,            0.003466,            0.003466
                 134,            0.054459,            0.057091,            0.014027,             0.29243,             0.22909,             0.17814,            0.063782,            0.085196,            0.031287,            0.032401,           0.0034165,           0.0034165,           0.0034165
                 135,            0.055361,            0.051806,            0.013584,             0.21492,             0.13559,             0.11354,            0.035311,            0.083452,            0.032247,            0.032639,            0.003367,            0.003367,            0.003367
                 136,            0.053912,            0.051227,            0.012908,             0.34607,             0.17161,             0.15465,            0.043802,            0.083777,            0.031686,             0.03343,           0.0033175,           0.0033175,           0.0033175
                 137,            0.053783,            0.052121,             0.01337,             0.28767,             0.20727,              0.1599,            0.044174,            0.084223,            0.031925,            0.031961,            0.003268,            0.003268,            0.003268
                 138,            0.054191,            0.055509,            0.013741,             0.22731,             0.17657,             0.12962,            0.039434,            0.082877,            0.032486,            0.030959,           0.0032185,           0.0032185,           0.0032185
                 139,            0.053384,            0.054473,            0.013087,             0.41859,             0.20056,             0.17695,            0.049707,            0.083067,            0.032395,            0.030116,            0.003169,            0.003169,            0.003169
                 140,            0.053629,            0.054172,            0.013296,             0.19862,             0.19046,             0.14322,            0.045429,            0.085453,            0.031596,            0.031705,           0.0031195,           0.0031195,           0.0031195
                 141,            0.052336,            0.052641,            0.012854,             0.20507,             0.19046,              0.1632,            0.053991,            0.084818,            0.031789,            0.031604,             0.00307,             0.00307,             0.00307
                 142,            0.052471,            0.055003,            0.013015,             0.30896,              0.1589,             0.15603,            0.044774,            0.083162,            0.032563,            0.031787,           0.0030205,           0.0030205,           0.0030205
                 143,            0.052995,            0.054098,            0.013221,             0.29051,             0.23533,             0.17918,            0.057049,            0.085072,            0.031125,            0.032419,            0.002971,            0.002971,            0.002971
                 144,            0.052061,            0.047574,             0.01304,             0.34206,             0.23439,             0.18591,             0.05204,            0.084598,            0.031396,            0.032089,           0.0029215,           0.0029215,           0.0029215
                 145,            0.051573,            0.050091,            0.012513,              0.3314,               0.206,             0.17022,            0.053377,            0.082314,            0.031706,            0.030647,            0.002872,            0.002872,            0.002872
                 146,            0.052304,            0.049542,            0.012931,             0.25772,             0.21621,              0.1529,            0.052798,            0.083609,            0.031867,            0.030643,           0.0028225,           0.0028225,           0.0028225
                 147,            0.051737,            0.051152,            0.012672,             0.29235,             0.16968,             0.14418,            0.045938,            0.082356,            0.033008,            0.031485,            0.002773,            0.002773,            0.002773
                 148,            0.052322,            0.049607,            0.013201,             0.34846,             0.16336,             0.16614,            0.062122,            0.082579,            0.032099,            0.030217,           0.0027235,           0.0027235,           0.0027235
                 149,            0.051068,            0.053603,            0.012757,             0.34149,             0.15463,             0.15161,            0.052032,            0.082861,            0.033362,            0.031206,            0.002674,            0.002674,            0.002674
                 150,            0.051547,            0.048687,            0.012703,             0.37114,             0.14119,             0.16621,            0.052141,            0.082707,            0.032769,            0.031242,           0.0026245,           0.0026245,           0.0026245
                 151,             0.05099,            0.051794,            0.013191,             0.33116,             0.12383,             0.14553,            0.039184,            0.084159,            0.033356,            0.031641,            0.002575,            0.002575,            0.002575
                 152,            0.051882,              0.0496,            0.012731,             0.23635,             0.20124,             0.14428,            0.050772,            0.083524,            0.032976,            0.032121,           0.0025255,           0.0025255,           0.0025255
                 153,            0.051757,            0.050468,            0.012388,             0.30668,             0.16186,             0.14168,            0.050569,            0.083642,            0.032589,            0.032584,            0.002476,            0.002476,            0.002476
                 154,            0.051471,            0.053506,             0.01218,             0.38606,             0.21445,             0.18506,            0.056952,            0.084145,            0.033098,            0.031622,           0.0024265,           0.0024265,           0.0024265
                 155,            0.051873,            0.053522,            0.013462,             0.30436,              0.1721,             0.13548,            0.041978,            0.084319,            0.033652,            0.032593,            0.002377,            0.002377,            0.002377
                 156,            0.050462,            0.050085,            0.012338,             0.50146,             0.16549,             0.20802,             0.05978,            0.085486,            0.031789,            0.033334,           0.0023275,           0.0023275,           0.0023275
                 157,            0.050993,            0.045851,            0.012631,              0.3351,             0.18572,             0.17418,            0.058494,            0.084823,            0.031557,            0.033664,            0.002278,            0.002278,            0.002278
                 158,            0.051154,            0.047013,            0.011951,             0.28566,             0.21766,             0.17737,            0.046308,            0.082657,            0.033117,            0.030084,           0.0022285,           0.0022285,           0.0022285
                 159,            0.050417,            0.051547,            0.012082,             0.32128,             0.23252,             0.16786,             0.05495,            0.082865,            0.033395,            0.028725,            0.002179,            0.002179,            0.002179
                 160,             0.05062,            0.050837,            0.012071,             0.33857,             0.21921,             0.18357,            0.059742,            0.083226,            0.032969,             0.02834,           0.0021295,           0.0021295,           0.0021295
                 161,            0.049834,             0.05006,            0.011999,             0.30611,             0.20435,             0.17931,            0.055413,            0.084826,            0.032924,            0.028926,             0.00208,             0.00208,             0.00208
                 162,            0.049024,            0.049975,            0.011762,             0.36697,              0.2063,             0.19013,            0.056347,            0.084954,            0.033169,            0.030359,           0.0020305,           0.0020305,           0.0020305
                 163,            0.048146,            0.048871,            0.011466,             0.32806,             0.17881,             0.17593,             0.06027,            0.084392,            0.032589,            0.030482,            0.001981,            0.001981,            0.001981
                 164,            0.048591,            0.049352,            0.011332,             0.25293,             0.18891,             0.14675,             0.04883,            0.084948,            0.032531,            0.030693,           0.0019315,           0.0019315,           0.0019315
                 165,            0.048677,            0.049165,            0.011627,             0.31078,             0.19179,             0.15875,            0.051889,            0.084986,            0.033446,            0.028651,            0.001882,            0.001882,            0.001882
                 166,            0.049965,            0.051684,            0.011876,             0.25669,              0.1857,             0.15643,            0.045529,               0.085,            0.032885,            0.030432,           0.0018325,           0.0018325,           0.0018325
                 167,            0.049104,             0.05051,            0.012029,             0.37632,             0.14164,             0.13792,             0.04406,            0.084959,            0.032447,            0.030579,            0.001783,            0.001783,            0.001783
                 168,            0.050252,            0.050013,            0.011981,             0.56568,             0.17207,             0.16832,            0.052371,            0.084308,            0.031667,            0.030446,           0.0017335,           0.0017335,           0.0017335
                 169,            0.047843,            0.047797,             0.01104,             0.41273,             0.19804,             0.17351,            0.057379,            0.084022,            0.031976,            0.030363,            0.001684,            0.001684,            0.001684
                 170,            0.049535,            0.049316,            0.011804,             0.44253,              0.1769,             0.18662,            0.054661,            0.083066,            0.032718,            0.030661,           0.0016345,           0.0016345,           0.0016345
                 171,            0.049251,            0.051332,            0.011313,             0.30079,             0.19425,             0.13838,            0.045019,             0.08405,             0.03373,            0.030125,            0.001585,            0.001585,            0.001585
                 172,            0.048001,            0.048248,            0.011044,             0.51034,             0.16647,             0.17227,            0.057577,            0.085189,            0.031944,             0.03143,           0.0015355,           0.0015355,           0.0015355
                 173,            0.047909,            0.048066,            0.011696,             0.44434,             0.19763,              0.1788,            0.066173,             0.08542,            0.031222,            0.031068,            0.001486,            0.001486,            0.001486
                 174,            0.050031,            0.050322,             0.01258,              0.4209,             0.18512,             0.18043,             0.06715,            0.085124,            0.031531,            0.031137,           0.0014365,           0.0014365,           0.0014365
                 175,             0.04811,            0.051482,            0.011186,              0.3572,             0.19046,             0.17342,            0.061308,            0.086064,             0.03108,            0.031796,            0.001387,            0.001387,            0.001387
                 176,            0.047853,            0.048209,            0.011121,             0.40009,             0.18036,             0.17287,            0.063147,            0.086052,            0.031622,            0.031485,           0.0013375,           0.0013375,           0.0013375
                 177,            0.048364,            0.050543,            0.011728,             0.54431,             0.17026,             0.20493,            0.066909,            0.084236,            0.032299,             0.03111,            0.001288,            0.001288,            0.001288
                 178,            0.049854,            0.048338,            0.012105,              0.3174,             0.21824,             0.19965,            0.064138,            0.083637,            0.032144,            0.030775,           0.0012385,           0.0012385,           0.0012385
                 179,            0.049092,            0.051742,            0.011774,             0.37102,             0.17787,             0.19479,             0.05906,            0.083996,            0.031822,            0.031544,            0.001189,            0.001189,            0.001189
                 180,            0.048535,            0.050065,             0.01177,             0.50436,             0.16016,             0.21274,            0.082796,            0.085576,            0.031093,            0.031508,           0.0011395,           0.0011395,           0.0011395
                 181,            0.047936,            0.048911,            0.011386,             0.45958,             0.20435,             0.20573,            0.078935,            0.084974,            0.031138,            0.032208,             0.00109,             0.00109,             0.00109
                 182,            0.047533,            0.048683,            0.011172,             0.47513,             0.20435,             0.19955,            0.066738,            0.084523,            0.031912,            0.032515,           0.0010405,           0.0010405,           0.0010405
                 183,            0.046664,            0.046772,            0.011078,             0.33566,             0.19425,             0.18729,            0.059459,            0.085292,            0.032544,            0.033595,            0.000991,            0.000991,            0.000991
                 184,            0.047504,            0.047408,            0.011379,             0.39752,             0.18851,             0.17782,            0.053253,            0.084644,            0.032357,            0.033742,           0.0009415,           0.0009415,           0.0009415
                 185,            0.048569,            0.049019,            0.011734,             0.51984,             0.17139,             0.19679,            0.063018,            0.083938,            0.032118,            0.032693,            0.000892,            0.000892,            0.000892
                 186,            0.048866,            0.047786,            0.011799,              0.4833,             0.19425,              0.2005,            0.064879,            0.083792,            0.032144,              0.0317,           0.0008425,           0.0008425,           0.0008425
                 187,            0.048967,            0.047005,             0.01183,             0.40872,             0.20911,             0.21409,            0.080315,            0.083519,            0.031918,            0.031238,            0.000793,            0.000793,            0.000793
                 188,            0.048344,            0.049481,            0.011696,             0.44759,             0.20552,              0.2081,             0.07652,             0.08414,            0.032125,             0.03176,           0.0007435,           0.0007435,           0.0007435
                 189,            0.048081,            0.046941,            0.011609,             0.33861,             0.20056,             0.18421,            0.075538,            0.084706,             0.03235,            0.031567,            0.000694,            0.000694,            0.000694
                 190,            0.047308,            0.049093,            0.011075,             0.45704,             0.20056,             0.19792,            0.069065,            0.084147,            0.032576,             0.03143,           0.0006445,           0.0006445,           0.0006445
                 191,            0.048562,            0.047302,            0.011726,             0.44343,             0.18036,             0.18761,            0.056304,             0.08366,            0.032756,            0.031718,            0.000595,            0.000595,            0.000595
                 192,            0.047991,            0.047889,            0.011688,              0.3358,             0.20814,             0.18355,            0.054772,            0.084145,            0.032905,            0.031764,           0.0005455,           0.0005455,           0.0005455
                 193,            0.046884,            0.048131,            0.011164,             0.31066,             0.21223,             0.18089,            0.065384,            0.084951,            0.032582,            0.031375,            0.000496,            0.000496,            0.000496
                 194,            0.047297,            0.049071,            0.010742,             0.36834,             0.15637,             0.18301,            0.069945,            0.085037,             0.03215,            0.031641,           0.0004465,           0.0004465,           0.0004465
                 195,             0.04717,            0.048383,            0.011457,              0.3899,             0.15637,             0.17686,            0.065819,             0.08467,            0.032086,            0.032034,            0.000397,            0.000397,            0.000397
                 196,            0.046874,            0.048448,            0.010816,             0.36669,             0.22679,             0.19933,            0.069192,            0.084128,            0.032331,            0.032639,           0.0003475,           0.0003475,           0.0003475
                 197,            0.046911,            0.051063,            0.010872,             0.37181,             0.20435,             0.19467,              0.0673,            0.084049,            0.032808,            0.032666,            0.000298,            0.000298,            0.000298
                 198,            0.045241,            0.048663,            0.010443,             0.33178,             0.21824,             0.18835,            0.065333,            0.084213,            0.032866,            0.032492,           0.0002485,           0.0002485,           0.0002485
                 199,            0.046881,            0.046587,            0.011067,             0.33232,             0.21485,             0.17913,            0.063268,              0.0842,            0.033117,            0.032245,            0.000199,            0.000199,            0.000199
